Category: All categories
TOP
Australia,100
Coronavirus,97
Coronavirus disease 2019,39
Google,37
Definition,37
Google Search,36
YouTube,29
MyGov.in,28
New South Wales,27
News,27
Facebook,27
Weather,26
Australians,26
Meaning,25
Melbourne,21
Sales,21
Facebook,21
Jean Macnamara,20
How-to,19
2020,19
Queensland,18
Film,18
Death,18
Child,17
Sydney,17

RISING
Liquor store,+250%
Jean Macnamara,+120%
Influenza vaccine,+100%
Bottle,+100%
Radar,+80%
April Fools' Day,+60%
The Sydney Morning Herald,+50%
Dan Murphy's,+50%
The Sydney Morning Herald,+50%
Easter,+40%
Kmart Pharmacy,+40%
April,+40%
Mask,+40%
Estate,+40%
Influenza,+40%

