Category: All categories
TOP
Australia,100
Coronavirus disease 2019,64
Victoria,49
Sales,41
Coronavirus,38
Definition,37
New South Wales,36
Film,36
News,34
YouTube,33
Australian Football League,31
Melbourne,30
Weather,30
Queensland,30
Meaning,29
Sydney,29
Facebook,28
2020,28
Bunnings Warehouse,26
How-to,26
Car,26
Recipe,25
Google Search,25
Google,24
Mask,23

RISING
TattsLotto,+450%
FA Cup,+400%
TikTok,+200%
Arsenal F.C.,+170%
Lottery,+120%
Ladder,+110%
Lockdown,+110%
United Kingdom,+100%
The Umbrella Academy,+100%
Fortnite,+90%
Cleaning,+90%
Coffee,+80%
PlayStation 4,+80%
Wife,+80%
Washing,+80%
Plants,+80%
Roblox,+70%
Cafe,+70%
Gift,+70%
Television,+70%
Australian Football League,+70%
Review,+70%
Kmart Australia,+60%
Result,+60%
Moon,+60%

