Category: All categories
TOP
Australia,100
Definition,47
Weather,45
Google,43
Google Search,41
New South Wales,35
Meaning,34
Season,33
Melbourne,33
Sales,33
Winter,28
News,27
Facebook,27
YouTube,24
Queensland,24
Sydney,24
Coronavirus,24
Victoria,24
2020,23
Price,22
United States,22
Film,22
Coronavirus disease 2019,22
Recipe,22
How-to,20

RISING
Share price,+300%
Grant,+200%
Stock,+190%
Winter,+160%
Share,+160%
ASX,+150%
Season,+130%
Telephone,+130%
Clinic,+120%
NAB,+100%
Australian Taxation Office,+100%
Insurance,+100%
Google Docs,+90%
CBA ATM,+90%
National Australia Bank,+80%
Gas,+80%
Truck,+80%
Australia and New Zealand Banking Group,+80%
Google Classroom,+70%
Employment,+70%
Commonwealth Bank,+70%
Americans,+70%
Westpac,+70%
Anti-fascism,+70%
ANZ,+70%

