Category: All categories
TOP
Australia,100
Weather,66
Melbourne,52
2020,51
Coronavirus,50
Sydney,40
Definition,39
Google Search,37
Google,35
Sales,35
Season,33
Facebook,32
Film,32
Meaning,29
New South Wales,29
Autumn,28
YouTube,28
Facebook,28
Perth,26
News,26
Car,24
Adelaide,23
Brisbane,22
Price,22
How-to,22

RISING
Public holiday,+350%
Married at First Sight,+350%
Autumn,+200%
Highway To Hell,+160%
Season,+140%
Student,+120%
MyGov.in,+110%
Postal code,+90%
Clinic,+80%
Holiday,+80%
ASX,+70%
United States,+70%
March,+70%
Caravan,+70%
Calendar date,+70%
Electricity,+70%
Parking,+60%
Physician,+60%
Influenza,+60%
Quotation,+50%
Vegetable,+50%
Map,+40%
Inch,+40%
Lodging,+40%
Easter,+40%

