Category: All categories
TOP
Australia,100
Google,66
Google Search,65
Definition,43
Weather,39
Coronavirus,38
Game,37
Meaning,32
Coronavirus disease 2019,32
Sales,32
YouTube,31
Facebook,30
Doodle,29
Film,29
Google Doodle,29
New South Wales,27
Recipe,24
Melbourne,24
News,22
Facebook,22
Price,22
Bunnings Warehouse,21
Sydney,21
How-to,21
Australians,20

RISING
Pizza,+100%
COVIDSafe,+80%
Yahoo!,+70%
TV Guide,+60%
Domino's Pizza,+60%
Menu,+60%
Vegetable,+60%
Minecraft,+60%
Television,+50%
Netflix,+50%
Mobile app,+50%
Film,+50%
Casting,+50%
Electricity,+40%
The Good Guys,+40%
Television show,+40%
Populace,+40%

