Category: All categories
TOP
Australia,100
Weather,51
2020,46
New South Wales,44
Definition,43
Sales,40
Sydney,37
Meaning,36
Queensland,33
Victoria,33
Melbourne,33
Facebook,32
News,31
Google,31
Google Search,30
Brisbane,29
Coronavirus disease 2019,28
Perth,28
Australian Football League,28
YouTube,26
Facebook,26
Car,24
Bunnings Warehouse,24
Child,24
Price,23

RISING
Chrissy Teigen,"+3,750%"
Australian Football League,+300%
NBA,+200%
Girl,+70%
Daylight saving time,+70%
Moon,+70%
Video,+60%
Temperature,+60%
Employment,+50%
Health,+50%
Flower,+50%
October,+50%
Beach,+50%
Disease,+50%
Children's film,+50%
Episode,+50%
Wall,+50%
Football,+40%
Dress,+40%
Brisbane,+40%
Hotel,+40%

