Month,Topic,Rank
Jul,Australia,100
Jul,MyGov.in,65
Jul,New South Wales,39
Jul,Definition,39
Jul,Sales,37
Jul,Victoria,37
Jul,Melbourne,36
Jul,Weather,35
Jul,Google,34
Jul,Google Search,34
Jul,Facebook,31
Jul,Meaning,31
Jul,Coronavirus disease 2019,31
Jul,Sydney,30
Jul,YouTube,29
Jul,Coronavirus,28
Jul,Facebook,27
Jul,Car,26
Jul,News,26
Jul,Film,24
Jul,Price,24
Jul,Perth,24
Jul,2020,23
Jul,Queensland,23
Jul,Recipe,19
Jun,Australia,100
Jun,Definition,47
Jun,Weather,45
Jun,Google,43
Jun,Google Search,41
Jun,New South Wales,35
Jun,Meaning,34
Jun,Season,33
Jun,Melbourne,33
Jun,Sales,33
Jun,Winter,28
Jun,News,27
Jun,Facebook,27
Jun,YouTube,24
Jun,Queensland,24
Jun,Sydney,24
Jun,Coronavirus,24
Jun,Victoria,24
Jun,2020,23
Jun,Price,22
Jun,United States,22
Jun,Film,22
Jun,Coronavirus disease 2019,22
Jun,Recipe,22
Jun,How-to,20
May,Australia,100
May,Google,66
May,Google Search,65
May,Definition,43
May,Weather,39
May,Coronavirus,38
May,Game,37
May,Meaning,32
May,Coronavirus disease 2019,32
May,Sales,32
May,YouTube,31
May,Facebook,30
May,Doodle,29
May,Film,29
May,Google Doodle,29
May,New South Wales,27
May,Recipe,24
May,Melbourne,24
May,News,22
May,Facebook,22
May,Price,22
May,Bunnings Warehouse,21
May,Sydney,21
May,How-to,21
May,Australians,20
Apr,Australia,100
Apr,Coronavirus,97
Apr,Coronavirus disease 2019,39
Apr,Google,37
Apr,Definition,37
Apr,Google Search,36
Apr,YouTube,29
Apr,MyGov.in,28
Apr,New South Wales,27
Apr,News,27
Apr,Facebook,27
Apr,Weather,26
Apr,Australians,26
Apr,Meaning,25
Apr,Melbourne,21
Apr,Sales,21
Apr,Facebook,21
Apr,Jean Macnamara,20
Apr,How-to,19
Apr,2020,19
Apr,Queensland,18
Apr,Film,18
Apr,Death,18
Apr,Child,17
Apr,Sydney,17
Mar,Australia,100
Mar,Weather,66
Mar,Melbourne,52
Mar,2020,51
Mar,Coronavirus,50
Mar,Sydney,40
Mar,Definition,39
Mar,Google Search,37
Mar,Google,35
Mar,Sales,35
Mar,Season,33
Mar,Facebook,32
Mar,Film,32
Mar,Meaning,29
Mar,New South Wales,29
Mar,Autumn,28
Mar,YouTube,28
Mar,Facebook,28
Mar,Perth,26
Mar,News,26
Mar,Car,24
Mar,Adelaide,23
Mar,Brisbane,22
Mar,Price,22
Mar,How-to,22
Feb,Australia,100
Feb,Weather,97
Feb,2020,56
Feb,Melbourne,55
Feb,Australian Open,43
Feb,Sydney,42
Feb,Coronavirus,39
Feb,Sales,37
Feb,Film,35
Feb,YouTube,30
Feb,Facebook,29
Feb,New South Wales,29
Feb,Definition,27
Feb,Perth,27
Feb,News,26
Feb,Car,24
Feb,Google Search,23
Feb,Facebook,23
Feb,Bunnings Warehouse,22
Feb,Meaning,22
Feb,Brisbane,22
Feb,Google,22
Feb,Tennis,22
Feb,Child,22
Feb,Adelaide,20
Jan,Australia,100
Jan,Fire,72
Jan,Weather,71
Jan,New Year,58
Jan,Sydney,54
Jan,2020,53
Jan,Melbourne,53
Jan,New South Wales,51
Jan,Facebook,43
Jan,Film,42
Jan,Sales,39
Jan,Bunnings Warehouse,33
Jan,Facebook,32
Jan,YouTube,31
Jan,Victoria,31
Jan,News,29
Jan,New Year's Day,29
Jan,Perth,28
Jan,Google Search,28
Jan,Coles Supermarkets,28
Jan,Map,28
Jan,Woolworths Supermarkets,27
Jan,Google,26
Jan,Time,26
Jan,Coles,26
Dec,Australia,100
Dec,Weather,66
Dec,New South Wales,42
Dec,Sydney,38
Dec,Sales,35
Dec,Christmas Day,35
Dec,Definition,34
Dec,Melbourne,32
Dec,Facebook,30
Dec,Meaning,29
Dec,Price,28
Dec,Google,28
Dec,Google Search,27
Dec,Queensland,26
Dec,Car,24
Dec,2020,24
Dec,Perth,24
Dec,News,24
Dec,YouTube,23
Dec,Season,23
Dec,Facebook,23
Dec,Bunnings Warehouse,22
Dec,Brisbane,20
Dec,Child,20
Dec,Outlook.com,20
Nov,Australia,100
Nov,Weather,64
Nov,2020,54
Nov,Melbourne,54
Nov,Sales,44
Nov,Definition,39
Nov,Sydney,37
Nov,New South Wales,36
Nov,Film,34
Nov,Queensland,34
Nov,Facebook,33
Nov,Meaning,32
Nov,Victoria,32
Nov,Bunnings Warehouse,31
Nov,YouTube,30
Nov,News,29
Nov,Perth,29
Nov,Google,28
Nov,Google Search,27
Nov,Sean Connery,27
Nov,Coronavirus disease 2019,26
Nov,Facebook,25
Nov,Car,25
Nov,Election,24
Nov,Child,23
Oct,Australia,100
Oct,Weather,51
Oct,2020,46
Oct,New South Wales,44
Oct,Definition,43
Oct,Sales,40
Oct,Sydney,37
Oct,Meaning,36
Oct,Queensland,33
Oct,Victoria,33
Oct,Melbourne,33
Oct,Facebook,32
Oct,News,31
Oct,Google,31
Oct,Google Search,30
Oct,Brisbane,29
Oct,Coronavirus disease 2019,28
Oct,Perth,28
Oct,Australian Football League,28
Oct,YouTube,26
Oct,Facebook,26
Oct,Car,24
Oct,Bunnings Warehouse,24
Oct,Child,24
Oct,Price,23
Sep,Australia,100
Sep,Definition,50
Sep,Google Search,41
Sep,Google,41
Sep,Weather,39
Sep,New South Wales,38
Sep,Meaning,35
Sep,2020,33
Sep,Coronavirus disease 2019,31
Sep,Sales,31
Sep,News,28
Sep,Facebook,28
Sep,YouTube,26
Sep,Victoria,26
Sep,Queensland,25
Sep,Melbourne,25
Sep,Sydney,24
Sep,Price,24
Sep,Perth,24
Sep,Facebook,23
Sep,Child,22
Sep,How-to,21
Sep,Bunnings Warehouse,20
Sep,Film,19
Sep,Australian Football League,19
Aug,Australia,100
Aug,Coronavirus disease 2019,64
Aug,Victoria,49
Aug,Sales,41
Aug,Coronavirus,38
Aug,Definition,37
Aug,New South Wales,36
Aug,Film,36
Aug,News,34
Aug,YouTube,33
Aug,Australian Football League,31
Aug,Melbourne,30
Aug,Weather,30
Aug,Queensland,30
Aug,Meaning,29
Aug,Sydney,29
Aug,Facebook,28
Aug,2020,28
Aug,Bunnings Warehouse,26
Aug,How-to,26
Aug,Car,26
Aug,Recipe,25
Aug,Google Search,25
Aug,Google,24
Aug,Mask,23
