Category: All categories
TOP
United Kingdom,100
Weather,65
News,55
Sales,49
BBC,40
Facebook,33
Amazon.com,31
Car,30
2020,29
Facebook,28
Coronavirus,27
London,26
Arsenal F.C.,25
YouTube,25
House,25
Film,25
Definition,24
BBC News,24
Google,24
Google Search,23
Hotel,22
Coronavirus disease 2019,22
Dog,20
FA Cup,19
Meaning,19

RISING
Arsenal F.C.–Chelsea F.C. rivalry,"+1,000%"
FA Cup,+950%
FA Cup Final,+500%
Arsenal F.C.,+500%
Chelsea F.C.,+400%
TikTok,+350%
Lottery,+180%
Premier League,+170%
Result,+140%
Cricket,+140%
BBC Sport,+120%
Sports league,+120%
Formula 1,+120%
Kit,+110%
Football,+110%
Liverpool F.C.,+90%
Ireland,+70%
August,+70%
Irish people,+70%
BBC iPlayer,+70%
Television,+50%
Nottingham,+50%
Morrisons,+50%
Bag,+50%
Currys,+50%

