Category: All categories
TOP
Australia,100
Weather,66
New South Wales,42
Sydney,38
Sales,35
Christmas Day,35
Definition,34
Melbourne,32
Facebook,30
Meaning,29
Price,28
Google,28
Google Search,27
Queensland,26
Car,24
2020,24
Perth,24
News,24
YouTube,23
Season,23
Facebook,23
Bunnings Warehouse,22
Brisbane,20
Child,20
Outlook.com,20

RISING
UEFA Champions League,"+1,300%"
December,+300%
Summer,+120%
Holiday,+110%
Electricity,+110%
Season,+80%
Radar,+60%
S&P/ASX 200,+50%
Bitcoin,+50%
Share price,+50%
Bed,+50%
Stock,+50%
Westpac,+50%
Number,+40%

