Category: All categories
TOP
United Kingdom,100
Christmas Day,64
News,56
Sales,45
Amazon.com,44
BBC,42
December,41
Definition,38
Google,35
Google Search,33
Debenhams,32
Weather,31
Facebook,30
Price,30
Coronavirus disease 2019,29
Meaning,28
YouTube,28
2020,27
BBC News,26
Facebook,26
Outlook.com,25
Car,23
London,23
Email,22
Child,21

RISING
Elliot Page,Breakout
December,"+1,400%"
UEFA Champions League,+950%
Debenhams,+600%
Liverpool F.C.,+190%
Holiday,+120%
Fortnite,+100%
Advent calendar,+80%
Advent,+70%
Result,+60%
Lottery,+60%
Flight,+40%

