Category: All categories
TOP
United Kingdom,100
News,64
BBC,56
2020,56
Football,49
Sales,48
London,48
Facebook,43
YouTube,38
Facebook,37
Film,37
Sports league,37
Coronavirus,36
Weather,36
BBC Sport,35
Amazon.com,34
Car,34
Hotel,34
Google Search,32
Google,32
Premier League,32
Definition,31
House,26
BBC News,26
Meaning,25

RISING
Italy national rugby union team,"+1,950%"
The Masked Singer,+900%
Irish Rugby,+800%
Wales national rugby union team,+700%
Southampton F.C.,+700%
Premier League,+550%
Leicester City F.C.,+500%
Sports league,+300%
Wolverhampton Wanderers F.C.,+300%
Six Nations Championship,+250%
Rugby union,+200%
Liverpool F.C.,+200%
Lottery,+170%
Football,+160%
Leeds United,+140%
National Lottery,+140%
Singing,+140%
Ireland,+130%
Ireland,+120%
BBC Sport,+110%
Result,+110%
Irish people,+100%
Chelsea F.C.,+90%
Manchester United F.C.,+90%
IKEA,+80%

