Category: All categories
TOP
United Kingdom,100
Coronavirus,67
St. David's Day,58
News,57
BBC,54
2020,52
Facebook,42
Sales,41
Weather,41
London,41
Facebook,38
Football,37
Amazon.com,34
YouTube,33
Definition,32
Sports league,32
Google Search,31
Google,31
Car,31
Film,30
BBC News,29
Hotel,27
Child,26
eBay,26
Meaning,26

RISING
St. David's Day,Breakout
Colin McRae,Breakout
FC Barcelona,+800%
Real Madrid C.F.,+750%
EFL Cup,+700%
Everton FC,+600%
Aston Villa F.C.,+500%
Wolverhampton Wanderers F.C.,+450%
Manchester City F.C.,+350%
Tottenham Hotspur F.C.,+350%
Manchester United F.C.,+250%
Roasting,+190%
Sunday,+80%
March,+60%
Easter,+40%

