Category: All categories
TOP
United Kingdom,100
Lockdown,66
News,58
BBC,46
Weather,38
Amazon.com,37
Sales,35
2020,35
Coronavirus disease 2019,32
Football,31
Facebook,29
Definition,27
BBC News,27
YouTube,27
Film,27
Sports league,26
Premier League,25
Coronavirus,25
Facebook,24
Google,24
Google Search,24
Meaning,23
Car,22
Television,22
Christmas Day,22

RISING
Arsenal F.C.–Manchester United F.C. rivalry,"+2,050%"
Brighton & Hove Albion Football Club,"+1,750%"
Southampton F.C.,"+1,350%"
Aston Villa F.C.,+500%
Tottenham Hotspur F.C.,+450%
Arsenal F.C.,+450%
Everton FC,+450%
Manchester United F.C.,+400%
Newcastle United F.C.,+350%
Roasting,+200%
November,+120%
Formula 1,+110%
Election,+90%
Exercise,+70%
Smyths,+70%
calendar,+70%
Christmas Day,+70%
Tree,+60%
Gift,+60%
University,+60%
Shoe,+60%
Premier League,+50%
John Lewis & Partners,+40%
Cooking,+40%
Test,+40%

