Month, Topic, Rank
Sep,United Kingdom,100
Sep,News,56
Sep,Weather,44
Sep,Sales,38
Sep,BBC,36
Sep,Google Search,33
Sep,Google,33
Sep,Facebook,31
Sep,Amazon.com,31
Sep,School,29
Sep,YouTube,28
Sep,Definition,26
Sep,Price,26
Sep,2020,26
Sep,London,26
Sep,Harold Moody,25
Sep,Outlook.com,24
Sep,Facebook,24
Sep,Car,23
Sep,Meaning,22
Sep,Email,22
Sep,Job,22
Sep,Hotel,22
Sep,House,21
Sep,BBC News,21
Apr,Coronavirus,100
Apr,United Kingdom,92
Apr,News,67
Apr,BBC,51
Apr,BBC News,36
Apr,Definition,32
Apr,Amazon.com,31
Apr,Google,30
Apr,YouTube,30
Apr,Facebook,30
Apr,Google Search,30
Apr,Death,27
Apr,Facebook,26
Apr,Coronavirus disease 2019,26
Apr,Recipe,23
Apr,Meaning,21
Apr,Tesco PLC,21
Apr,Outlook.com,21
Apr,Film,20
Apr,Delivery,20
Apr,Weather,19
Apr,Sales,19
Apr,Price,19
Apr,How-to,19
Apr,Email,18
Aug,United Kingdom,100
Aug,Weather,65
Aug,News,55
Aug,Sales,49
Aug,BBC,40
Aug,Facebook,33
Aug,Amazon.com,31
Aug,Car,30
Aug,2020,29
Aug,Facebook,28
Aug,Coronavirus,27
Aug,London,26
Aug,Arsenal F.C.,25
Aug,YouTube,25
Aug,House,25
Aug,Film,25
Aug,Definition,24
Aug,BBC News,24
Aug,Google,24
Aug,Google Search,23
Aug,Hotel,22
Aug,Coronavirus disease 2019,22
Aug,Dog,20
Aug,FA Cup,19
Aug,Meaning,19
Dec,United Kingdom,100
Dec,Christmas Day,64
Dec,News,56
Dec,Sales,45
Dec,Amazon.com,44
Dec,BBC,42
Dec,December,41
Dec,Definition,38
Dec,Google,35
Dec,Google Search,33
Dec,Debenhams,32
Dec,Weather,31
Dec,Facebook,30
Dec,Price,30
Dec,Coronavirus disease 2019,29
Dec,Meaning,28
Dec,YouTube,28
Dec,2020,27
Dec,BBC News,26
Dec,Facebook,26
Dec,Outlook.com,25
Dec,Car,23
Dec,London,23
Dec,Email,22
Dec,Child,21
Feb,United Kingdom,100
Feb,News,64
Feb,BBC,56
Feb,2020,56
Feb,Football,49
Feb,Sales,48
Feb,London,48
Feb,Facebook,43
Feb,YouTube,38
Feb,Facebook,37
Feb,Film,37
Feb,Sports league,37
Feb,Coronavirus,36
Feb,Weather,36
Feb,BBC Sport,35
Feb,Amazon.com,34
Feb,Car,34
Feb,Hotel,34
Feb,Google Search,32
Feb,Google,32
Feb,Premier League,32
Feb,Definition,31
Feb,House,26
Feb,BBC News,26
Feb,Meaning,25
Jan,New Year,100
Jan,United Kingdom,89
Jan,2020,69
Jan,News,63
Jan,BBC,61
Jan,Football,60
Jan,Sales,54
Jan,London,52
Jan,Facebook,51
Jan,New Year's Day,46
Jan,Sports league,45
Jan,Premier League,45
Jan,Facebook,43
Jan,Film,42
Jan,YouTube,37
Jan,Amazon.com,36
Jan,Tesco PLC,35
Jan,BBC Sport,34
Jan,Hotel,32
Jan,Weather,30
Jan,Television,30
Jan,Google,29
Jan,Definition,28
Jan,Google Search,28
Jan,Asda Stores Limited,28
Jul,United Kingdom,100
Jul,Weather,46
Jul,News,45
Jul,BBC,37
Jul,Sales,37
Jul,Google Search,31
Jul,Google,31
Jul,Definition,30
Jul,Coronavirus,30
Jul,Facebook,28
Jul,Amazon.com,26
Jul,YouTube,25
Jul,Facebook,23
Jul,BBC News,22
Jul,Meaning,22
Jul,Job,22
Jul,Car,22
Jul,House,20
Jul,Price,19
Jul,Outlook.com,19
Jul,London,19
Jul,Death,19
Jul,Football,18
Jul,Email,18
Jul,2020,18
Jun,United Kingdom,100
Jun,News,55
Jun,Weather,43
Jun,Coronavirus,41
Jun,BBC,38
Jun,Sales,32
Jun,Google Search,31
Jun,Google,31
Jun,Amazon.com,30
Jun,Definition,30
Jun,Facebook,29
Jun,BBC News,28
Jun,YouTube,24
Jun,Death,23
Jun,Facebook,23
Jun,Outlook.com,22
Jun,Meaning,22
Jun,Car,20
Jun,House,20
Jun,eBay,20
Jun,Price,20
Jun,Email,20
Jun,2020,19
Jun,Coronavirus disease 2019,18
Jun,Job,18
Mar,United Kingdom,100
Mar,Coronavirus,67
Mar,St. David's Day,58
Mar,News,57
Mar,BBC,54
Mar,2020,52
Mar,Facebook,42
Mar,Sales,41
Mar,Weather,41
Mar,London,41
Mar,Facebook,38
Mar,Football,37
Mar,Amazon.com,34
Mar,YouTube,33
Mar,Definition,32
Mar,Sports league,32
Mar,Google Search,31
Mar,Google,31
Mar,Car,31
Mar,Film,30
Mar,BBC News,29
Mar,Hotel,27
Mar,Child,26
Mar,eBay,26
Mar,Meaning,26
May,United Kingdom,100
May,Google Search,64
May,Google,64
May,Coronavirus,59
May,News,50
May,Game,41
May,BBC,40
May,Amazon.com,35
May,Facebook,34
May,Weather,33
May,Google Doodle,32
May,YouTube,32
May,Doodle,32
May,Definition,29
May,Facebook,28
May,Sales,26
May,BBC News,26
May,Film,23
May,Recipe,23
May,Death,23
May,How-to,23
May,Meaning,23
May,eBay,21
May,2020,21
May,Outlook.com,21
Nov,United Kingdom,100
Nov,Lockdown,66
Nov,News,58
Nov,BBC,46
Nov,Weather,38
Nov,Amazon.com,37
Nov,Sales,35
Nov,2020,35
Nov,Coronavirus disease 2019,32
Nov,Football,31
Nov,Facebook,29
Nov,Definition,27
Nov,BBC News,27
Nov,YouTube,27
Nov,Film,27
Nov,Sports league,26
Nov,Premier League,25
Nov,Coronavirus,25
Nov,Facebook,24
Nov,Google,24
Nov,Google Search,24
Nov,Meaning,23
Nov,Car,22
Nov,Television,22
Nov,Christmas Day,22
Oct,United Kingdom,100
Oct,News,64
Oct,Weather,51
Oct,BBC,48
Oct,Google,41
