Category: All categories
TOP
Weather,100
City,99
YouTube,89
Yahoo!,83
Train station,83
Comics,81
Film,75
Twitter,64
Amazon.com,63
Virus,63
Meaning,63
Recipe,61
Respirator,61
Twitter,60
Severe acute respiratory syndrome coronavirus 2,58
Japan,56
Tokyo,56
English language,55
Japanese people,55
Hotel,55
Coronavirus,53
Woman,52
Blog,52
Shop,50
Osaka,48

RISING
Mary Somerville,Breakout
Yûki Yagi,"+3,300%"
Japan Racing Association,+250%
Coupon,+90%
Horse racing,+80%
Setsubun,+70%
Fortnite,+60%
Daiso,+60%
Sushi,+60%
Television advertisement,+50%
Costco,+50%
Coffee,+50%
Table,+50%
Menu,+50%
Significant other,+50%
McDonald's,+50%
Cafe,+40%
Sports,+40%
Pokémon,+40%
Lunch,+40%
Tourism,+40%
Motorcycle,+40%
Parking lot,+40%
Cuisine,+40%

