Category: All categories
TOP
Severe acute respiratory syndrome coronavirus 2,100
Weather,89
Coronavirus,89
Virus,73
Respirator,69
City,66
Yahoo!,61
Infection,49
YouTube,48
News,42
Meaning,41
Comics,40
Twitter,37
Amazon.com,36
Twitter,35
English language,34
Japan,33
Japanese people,32
Recipe,29
Ken Shimura,27
Tokyo,25
Anime,23
Share price,23
Blog,23
Rakuten,22

RISING
Easter,+450%
Yōko Ishino,+350%
Textile,+190%
April Fools' Day,+110%
Nagasaki,+90%
BCG vaccine,+60%
Kitakyushu,+60%
Hamamatsu,+60%
Camera,+50%
Education,+40%
United States,+40%

