Category: All categories
TOP
Weather,100
City,94
Severe acute respiratory syndrome coronavirus 2,80
Yahoo!,65
YouTube,64
Comics,58
Infection,58
Twitter,54
Coronavirus,53
Twitter,53
Meaning,48
Amazon.com,46
Tokyo,44
News,44
Recipe,42
Japanese people,37
Japan,37
Train station,34
English language,34
Woman,34
Film,34
Shop,34
Respirator,34
Baseball,33
Lyrics,31

RISING
Japan Racing Association,+200%
Japanese High School Baseball Championship,+130%
Fireworks,+110%
August,+90%
Swimming pool,+70%
Bread,+70%
Bicycle,+60%
Horse racing,+60%
TikTok,+60%
Take-out,+50%
Cuisine,+50%
Laundry,+50%
Pain,+50%
Baseball,+40%
Onsen,+40%
Photography,+40%

