Category: All categories
TOP
City,100
Weather,88
Yahoo!,78
Meaning,72
December,69
YouTube,64
English language,62
Twitter,60
Twitter,60
Comics,59
Amazon.com,57
Recipe,54
News,46
Severe acute respiratory syndrome coronavirus 2,43
Share price,41
Rakuten,40
Japanese people,39
Tokyo,39
Japan,37
Train station,36
Shop,35
Blog,33
Christmas Day,33
Osaka,33
Film,33

RISING
Yû Inaba,Breakout
Kentarō Kobayashi,Breakout
December,+250%
Okayama,+70%
Osechi,+70%
Genshin Impact,+60%
Fukubukuro,+60%
Niigata,+50%

