Category: All categories
TOP
New Year's Day,100
Fukubukuro,91
Weather,77
City,71
Christmas and holiday season,68
YouTube,66
Comics,59
Yahoo!,57
Meaning,56
Ekiden,52
Twitter,51
Train station,50
Twitter,50
Japanese New Year,48
Film,48
Amazon.com,47
Tokyo,43
Monster Strike,42
Instagram,41
Shop,39
Hatsumōde,39
Japanese people,39
Japan,38
Blog,38

RISING
Who Is The Real Celebrity?,"+2,450%"
Gackt,"+1,650%"
Riho Yoshioka,"+1,000%"
Triangle,+900%
Vissel Kobe,+850%
Hakone Ekiden,+550%
Ekiden,+450%
Emperor's Cup,+450%
O-mikuji,+400%
New Year Ekiden,+350%
Hakone,+350%
Ayumi Hamasaki,+350%
Sayaka Yamamoto,+300%
Hatsuyume,+250%
Shizuka Manami,+250%
Emperor of Japan,+250%
Erika Akiyama,+250%
Nose,+180%
Nike,+140%
New Year's Day,+120%
Wallet,+90%
Angling,+90%
Traffic congestion,+80%
New Year card,+70%

