Category: All categories
TOP
Weather,100
City,86
Tsukimi,75
Moon,70
Yahoo!,68
YouTube,64
Meaning,62
Satomi Ishihara,57
Twitter,54
Twitter,53
English language,52
Comics,49
Recipe,45
News,42
Marriage,40
Amazon.com,39
Japan,39
Japanese people,39
Hotel,36
Tokyo,34
Rakuten,33
Train station,33
Woman,32
Shop,31
Google,31

RISING
Satomi Ishihara,Breakout
Mayuko Iwasa,Breakout
TYO,"+1,900%"
Soka Gakkai,+750%
Moon,+350%
Tsukimi,+250%
Dango,+190%
Marriage,+150%
System,+100%
Coupon,+80%
Goto,+70%
Kanagawa,+70%
Jalan,+60%
Lodging,+60%
Influenza,+50%
Travel,+50%
Census in Japan,+50%
Health Care,+40%

