Month,Search Term,Percentage
12-Dec,Yû Inaba,Breakout
12-Dec,Kentarō Kobayashi,Breakout
12-Dec,December,+250%
12-Dec,Okayama,+70%
12-Dec,Osechi,+70%
12-Dec,Genshin Impact,+60%
12-Dec,Fukubukuro,+60%
12-Dec,Niigata,+50%
11-Nov,Osaka Metropolis plan,+750%
11-Nov,All Japan University Men’s Ekiden,+250%
11-Nov,Naoya Inoue,+190%
11-Nov,Ekiden,+130%
11-Nov,Osaka,+110%
11-Nov,Waste,+100%
11-Nov,Tenno Sho,+90%
11-Nov,11-November,+60%
11-Nov,Knitting,+60%
11-Nov,Weather,+60%
11-Nov,Weather forecasting,+60%
11-Nov,Bento,+50%
11-Nov,Osaka,+40%
11-Nov,Oni,+40%
10-Oct,Satomi Ishihara,Breakout
10-Oct,Mayuko Iwasa,Breakout
10-Oct,TYO,"+1,900%"
10-Oct,Soka Gakkai,+750%
10-Oct,Moon,+350%
10-Oct,Tsukimi,+250%
10-Oct,Dango,+190%
10-Oct,03-Marriage,+150%
10-Oct,System,+100%
10-Oct,Coupon,+80%
10-Oct,Goto,+70%
10-Oct,Kanagawa,+70%
10-Oct,Jalan,+60%
10-Oct,Lodging,+60%
10-Oct,Influenza,+50%
10-Oct,Travel,+50%
10-Oct,Census in Japan,+50%
10-Oct,Health Care,+40%
09-Sep,Yukari Oshima,"+3,700%"
09-Sep,Tropical Storm Krosa,+350%
09-Sep,Aya Kōda,+300%
09-Sep,Yomiuri Giants,+250%
09-Sep,Nippon Professional Baseball,+160%
09-Sep,Divorce,+150%
09-Sep,Typhoon Lionrock,+90%
09-Sep,Typhoon,+60%
09-Sep,Baseball,+60%
09-Sep,Loyalty program,+50%
09-Sep,Dieting,+40%
09-Sep,Manufacturing,+40%
08-Aug,Japan Racing Association,+200%
08-Aug,Japanese High School Baseball Championship,+130%
08-Aug,Fireworks,+110%
08-Aug,August,+90%
08-Aug,Swimming pool,+70%
08-Aug,Bread,+70%
08-Aug,Bicycle,+60%
08-Aug,Horse racing,+60%
08-Aug,TikTok,+60%
08-Aug,Take-out,+50%
08-Aug,Cuisine,+50%
08-Aug,Laundry,+50%
08-Aug,Pain,+50%
08-Aug,Baseball,+40%
08-Aug,Onsen,+40%
08-Aug,Photography,+40%
07-Jul,No Min-woo,Breakout
07-Jul,Kisaragi Station,Breakout
07-Jul,Tokyo Disney Resort Ticket Center,+600%
07-Jul,Ticket,+250%
07-Jul,Tokyo Disney Resort,+250%
07-Jul,Tokyo Disneyland,+180%
07-Jul,System,+70%
07-Jul,July,+70%
07-Jul,Hiroshima,+60%
07-Jul,Public transport timetable,+50%
07-Jul,Individual Number Card,+50%
07-Jul,Loyalty program,+40%
07-Jul,Aichi,+40%
06-Jun,Mayu Watanabe,Breakout
06-Jun,Fireworks,+800%
06-Jun,fireworks festival,+600%
06-Jun,06-June 1,+350%
06-Jun,Project,+350%
06-Jun,Microsoft Excel,+200%
06-Jun,Share price,+180%
06-Jun,Joint-stock company,+140%
06-Jun,Installation,+110%
06-Jun,Company,+100%
06-Jun,Postal code,+100%
06-Jun,Share,+100%
06-Jun,Disease,+100%
06-Jun,Law,+100%
06-Jun,Computer file,+90%
06-Jun,Mail,+70%
06-Jun,Clinic,+70%
06-Jun,Google Maps,+70%
06-Jun,Microsoft Windows,+70%
06-Jun,Zoom Video Communications,+60%
06-Jun,June,+60%
06-Jun,Tax,+60%
06-Jun,Telephone number,+60%
06-Jun,Insurance,+60%
06-Jun,Enterprise,+60%
05-May,Kenji Miyazawa,Breakout
05-May,Tangled,"+3,050%"
05-May,Rapunzel,"+1,400%"
05-May,Cooperation Network System for Personal Information,+550%
05-May,International Workers' Day,+400%
05-May,AOKI Holdings Inc.,+250%
05-May,Individual Number Card,+250%
05-May,Kim Jong-un,+180%
05-May,Muji,+120%
05-May,Grant,+80%
05-May,Japan Racing Association,+80%
05-May,May,+70%
05-May,head hair,+70%
05-May,prestation,+60%
05-May,Seiyu,+50%
05-May,Weather forecasting,+50%
05-May,Johnny & Associates,+40%
05-May,Weather,+40%
04-Apr,Easter,+450%
04-Apr,Yōko Ishino,+350%
04-Apr,Textile,+190%
04-Apr,April Fools' Day,+110%
04-Apr,Nagasaki,+90%
04-Apr,BCG vaccine,+60%
04-Apr,Kitakyushu,+60%
04-Apr,Hamamatsu,+60%
04-Apr,Camera,+50%
04-Apr,Education,+40%
04-Apr,United States,+40%
03-Mar,Suguru Osako,Breakout
03-Mar,Ship of Theseus,+400%
03-Mar,Kitakyushu,+300%
03-Mar,Nishinomiya,+200%
03-Mar,Marathon,+180%
03-Mar,Tokyo Marathon,+150%
03-Mar,Suit,+90%
03-Mar,Tokyo,+70%
03-Mar,Hyogo,+50%
03-Mar,Hinamatsuri,+50%
03-Mar,Spoiler,+40%
03-Mar,Condominium,+40%
03-Mar,Rice,+40%
03-Mar,Television advertisement,+40%
02-Feb,Mary Somerville,Breakout
02-Feb,Yûki Yagi,"+3,300%"
02-Feb,Japan Racing Association,+250%
02-Feb,Coupon,+90%
02-Feb,Horse racing,+80%
02-Feb,Setsubun,+70%
02-Feb,Fortnite,+60%
02-Feb,Daiso,+60%
02-Feb,Sushi,+60%
02-Feb,Television advertisement,+50%
02-Feb,Costco,+50%
02-Feb,Coffee,+50%
02-Feb,Table,+50%
02-Feb,Menu,+50%
02-Feb,Significant other,+50%
02-Feb,McDonald's,+50%
02-Feb,Cafe,+40%
02-Feb,Sports,+40%
02-Feb,Pokémon,+40%
02-Feb,Lunch,+40%
02-Feb,Tourism,+40%
02-Feb,Motorcycle,+40%
02-Feb,Parking lot,+40%
02-Feb,Cuisine,+40%
01-Jan,Who Is The Real Celebrity?,"+2,450%"
01-Jan,Gackt,"+1,650%"
01-Jan,Riho Yoshioka,"+1,000%"
01-Jan,Triangle,+900%
01-Jan,Vissel Kobe,+850%
01-Jan,Hakone Ekiden,+550%
01-Jan,Ekiden,+450%
01-Jan,Emperor's Cup,+450%
01-Jan,O-mikuji,+400%
01-Jan,New Year Ekiden,+350%
01-Jan,Hakone,+350%
01-Jan,Ayumi Hamasaki,+350%
01-Jan,Sayaka Yamamoto,+300%
01-Jan,Hatsuyume,+250%
01-Jan,Shizuka Manami,+250%
