Month, Topic, Rank
Jun,Weather,100
Jun,City,66
Jun,Fireworks,63
Jun,Meaning,48
Jun,Yahoo!,46
Jun,English language,45
Jun,YouTube,45
Jun,Comics,44
Jun,Twitter,40
Jun,Twitter,39
Jun,Recipe,37
Jun,Amazon.com,36
Jun,Severe acute respiratory syndrome coronavirus 2,34
Jun,Japanese people,33
Jun,Respirator,31
Jun,News,30
Jun,Japan,30
Jun,Tokyo,27
Jun,Google,25
Jun,Mayu Watanabe,25
Jun,Rakuten,24
Jun,Blog,22
Jun,Osaka,22
Jun,Woman,22
Jun,Share price,21
Oct,Weather,100
Oct,City,86
Oct,Tsukimi,75
Oct,Moon,70
Oct,Yahoo!,68
Oct,YouTube,64
Oct,Meaning,62
Oct,Satomi Ishihara,57
Oct,Twitter,54
Oct,Twitter,53
Oct,English language,52
Oct,Comics,49
Oct,Recipe,45
Oct,News,42
Oct,Marriage,40
Oct,Amazon.com,39
Oct,Japan,39
Oct,Japanese people,39
Oct,Hotel,36
Oct,Tokyo,34
Oct,Rakuten,33
Oct,Train station,33
Oct,Woman,32
Oct,Shop,31
Oct,Google,31
Nov,Weather,100
Nov,City,53
Nov,Osaka,45
Nov,Comics,43
Nov,YouTube,41
Nov,Yahoo!,39
Nov,Demon Slayer: Kimetsu no Yaiba,38
Nov,Twitter,37
Nov,Meaning,37
Nov,Film,37
Nov,Twitter,37
Nov,Recipe,35
Nov,Train station,30
Nov,English language,27
Nov,Amazon.com,26
Nov,Osaka Metropolis plan,26
Nov,Shop,25
Nov,News,24
Nov,Tokyo,24
Nov,Japan Racing Association,23
Nov,Hotel,23
Nov,Japanese people,22
Nov,Japan,21
Nov,Anime,21
Nov,Woman,21
Dec,City,100
Dec,Weather,88
Dec,Yahoo!,78
Dec,Meaning,72
Dec,December,69
Dec,YouTube,64
Dec,English language,62
Dec,Twitter,60
Dec,Twitter,60
Dec,Comics,59
Dec,Amazon.com,57
Dec,Recipe,54
Dec,News,46
Dec,Severe acute respiratory syndrome coronavirus 2,43
Dec,Share price,41
Dec,Rakuten,40
Dec,Japanese people,39
Dec,Tokyo,39
Dec,Japan,37
Dec,Train station,36
Dec,Shop,35
Dec,Blog,33
Dec,Christmas Day,33
Dec,Osaka,33
Dec,Film,33
Jan,New Year's Day,100
Jan,Fukubukuro,91
Jan,Weather,77
Jan,City,71
Jan,Christmas and holiday season,68
Jan,YouTube,66
Jan,Comics,59
Jan,Yahoo!,57
Jan,Meaning,56
Jan,Ekiden,52
Jan,Twitter,51
Jan,Train station,50
Jan,Twitter,50
Jan,Japanese New Year,48
Jan,Film,48
Jan,Amazon.com,47
Jan,Tokyo,43
Jan,Monster Strike,42
Jan,Instagram,41
Jan,Shop,39
Jan,Hatsumōde,39
Jan,Japanese people,39
Jan,Japan,38
Jan,Blog,38
Feb,Weather,100
Feb,City,99
Feb,YouTube,89
Feb,Yahoo!,83
Feb,Train station,83
Feb,Comics,81
Feb,Film,75
Feb,Twitter,64
Feb,Amazon.com,63
Feb,Virus,63
Feb,Meaning,63
Feb,Recipe,61
Feb,Respirator,61
Feb,Twitter,60
Feb,Severe acute respiratory syndrome coronavirus 2,58
Feb,Japan,56
Feb,Tokyo,56
Feb,English language,55
Feb,Japanese people,55
Feb,Hotel,55
Feb,Coronavirus,53
Feb,Woman,52
Feb,Blog,52
Feb,Shop,50
Feb,Osaka,48
Mar,Weather,100
Mar,Severe acute respiratory syndrome coronavirus 2,76
Mar,Coronavirus,62
Mar,City,61
Mar,Virus,61
Mar,Yahoo!,54
Mar,Comics,51
Mar,YouTube,50
Mar,Meaning,41
Mar,Amazon.com,40
Mar,Respirator,40
Mar,Twitter,40
Mar,Twitter,39
Mar,News,37
Mar,Recipe,35
Mar,Film,33
Mar,Japanese people,33
Mar,Japan,33
Mar,Blog,28
Mar,English language,27
Mar,Shop,27
Mar,Train station,27
Mar,Tokyo,26
Mar,Instagram,26
Mar,Woman,26
Apr,Severe acute respiratory syndrome coronavirus 2,100
Apr,Weather,89
Apr,Coronavirus,89
Apr,Virus,73
Apr,Respirator,69
Apr,City,66
Apr,Yahoo!,61
Apr,Infection,49
Apr,YouTube,48
Apr,News,42
Apr,Meaning,41
Apr,Comics,40
Apr,Twitter,37
Apr,Amazon.com,36
Apr,Twitter,35
Apr,English language,34
Apr,Japan,33
Apr,Japanese people,32
Apr,Recipe,29
Apr,Ken Shimura,27
Apr,Tokyo,25
Apr,Anime,23
Apr,Share price,23
Apr,Blog,23
Apr,Rakuten,22
May,City,100
May,Google,82
May,Severe acute respiratory syndrome coronavirus 2,75
May,Google Search,74
May,Weather,71
May,Game,69
May,YouTube,67
May,Yahoo!,66
May,Respirator,61
May,Amazon.com,60
May,Video game,60
May,Meaning,59
May,Google Doodle,56
May,Doodle,55
May,Recipe,54
May,Comics,54
May,Coronavirus,52
May,News,48
May,English language,48
May,Twitter,47
May,Twitter,46
May,Infection,43
May,Virus,36
May,Instagram,36
May,Rakuten,35
Jul,Weather,100
Jul,City,52
Jul,Yahoo!,38
Jul,Meaning,35
Jul,YouTube,30
Jul,English language,29
Jul,Recipe,28
Jul,Comics,28
Jul,Twitter,28
Jul,Twitter,26
Jul,Amazon.com,25
Jul,News,23
Jul,Tokyo,22
Jul,Severe acute respiratory syndrome coronavirus 2,21
Jul,Respirator,20
Jul,Japanese people,20
Jul,Japan,19
Jul,Rakuten,19
Jul,Google,17
Jul,Tokyo Disney Resort,17
Jul,Blog,17
Jul,Hotel,16
Jul,Train station,16
Jul,Osaka,16
Jul,Share price,15
Aug,Weather,100
Aug,City,94
Aug,Severe acute respiratory syndrome coronavirus 2,80
Aug,Yahoo!,65
Aug,YouTube,64
Aug,Comics,58
Aug,Infection,58
Aug,Twitter,54
Aug,Coronavirus,53
Aug,Twitter,53
Aug,Meaning,48
Aug,Amazon.com,46
Aug,Tokyo,44
Aug,News,44
Aug,Recipe,42
Aug,Japanese people,37
Aug,Japan,37
Aug,Train station,34
Aug,English language,34
Aug,Woman,34
Aug,Film,34
Aug,Shop,34
Aug,Respirator,34
Aug,Baseball,33
Aug,Lyrics,31
Sep,Weather,100
Sep,City,49
Sep,Typhoon,49
Sep,Yahoo!,39
Sep,Meaning,30
Sep,YouTube,28
Sep,English language,27
Sep,Comics,26
Sep,Twitter,26
Sep,Twitter,26
Sep,Recipe,26
Sep,Aya Kōda,25
Sep,Amazon.com,24
Sep,News,22
Sep,Japan,22
Sep,Japanese people,22
Sep,Tokyo,20
Sep,Tropical Storm Krosa,19
Sep,Rakuten,18
Sep,Share price,17
Sep,Osaka,17
Sep,Blog,17
Sep,Film,16
Sep,Woman,16
Sep,Shop,16
