Category: All categories
TOP
Weather,100
City,66
Fireworks,63
Meaning,48
Yahoo!,46
English language,45
YouTube,45
Comics,44
Twitter,40
Twitter,39
Recipe,37
Amazon.com,36
Severe acute respiratory syndrome coronavirus 2,34
Japanese people,33
Respirator,31
News,30
Japan,30
Tokyo,27
Google,25
Mayu Watanabe,25
Rakuten,24
Blog,22
Osaka,22
Woman,22
Share price,21

RISING
Mayu Watanabe,Breakout
Fireworks,+800%
fireworks festival,+600%
June 1,+350%
Project,+350%
Microsoft Excel,+200%
Share price,+180%
Joint-stock company,+140%
Installation,+110%
Company,+100%
Postal code,+100%
Share,+100%
Disease,+100%
Law,+100%
Computer file,+90%
Mail,+70%
Clinic,+70%
Google Maps,+70%
Microsoft Windows,+70%
Zoom Video Communications,+60%
June,+60%
Tax,+60%
Telephone number,+60%
Insurance,+60%
Enterprise,+60%

