Category: All categories
TOP
City,100
Google,82
Severe acute respiratory syndrome coronavirus 2,75
Google Search,74
Weather,71
Game,69
YouTube,67
Yahoo!,66
Respirator,61
Amazon.com,60
Video game,60
Meaning,59
Google Doodle,56
Doodle,55
Recipe,54
Comics,54
Coronavirus,52
News,48
English language,48
Twitter,47
Twitter,46
Infection,43
Virus,36
Instagram,36
Rakuten,35

RISING
Kenji Miyazawa,Breakout
Tangled,"+3,050%"
Rapunzel,"+1,400%"
Cooperation Network System for Personal Information,+550%
International Workers' Day,+400%
AOKI Holdings Inc.,+250%
Individual Number Card,+250%
Kim Jong-un,+180%
Muji,+120%
Grant,+80%
Japan Racing Association,+80%
May,+70%
head hair,+70%
prestation,+60%
Seiyu,+50%
Weather forecasting,+50%
Johnny & Associates,+40%
Weather,+40%

