Category: All categories
TOP
Australia,100
Weather,64
2020,54
Melbourne,54
Sales,44
Definition,39
Sydney,37
New South Wales,36
Film,34
Queensland,34
Facebook,33
Meaning,32
Victoria,32
Bunnings Warehouse,31
YouTube,30
News,29
Perth,29
Google,28
Google Search,27
Sean Connery,27
Coronavirus disease 2019,26
Facebook,25
Car,25
Election,24
Child,23

RISING
NFL,+500%
Hospital,+90%
Formula 1,+80%
2020 Melbourne Cup,+70%
Bed,+70%
Melbourne Cup Carnival,+70%
Mobile app,+70%
Pet,+70%
Toy,+70%
Cairns,+60%
Online banking,+60%
Christmas Day,+60%
Travel,+60%
Caravan,+60%
United States presidential election,+60%
Mobile phone,+50%
Clinic,+50%
MyGov.in,+50%
Apple,+50%
Dollar,+50%
Bicycle,+50%
eBay,+50%
English language,+50%
Indian Premier League,+50%
Japan,+40%

