Category: All categories
TOP
Weather,100
City,53
Osaka,45
Comics,43
YouTube,41
Yahoo!,39
Demon Slayer: Kimetsu no Yaiba,38
Twitter,37
Meaning,37
Film,37
Twitter,37
Recipe,35
Train station,30
English language,27
Amazon.com,26
Osaka Metropolis plan,26
Shop,25
News,24
Tokyo,24
Japan Racing Association,23
Hotel,23
Japanese people,22
Japan,21
Anime,21
Woman,21

RISING
Osaka Metropolis plan,+750%
All Japan University Men’s Ekiden,+250%
Naoya Inoue,+190%
Ekiden,+130%
Osaka,+110%
Waste,+100%
Tenno Sho,+90%
November,+60%
Knitting,+60%
Weather,+60%
Weather forecasting,+60%
Bento,+50%
Osaka,+40%
Oni,+40%

