Category: All categories
TOP
2020,100
Voting,78
Film,75
NFL,68
Weather,67
Time,66
American football,54
Sales,53
Facebook,51
YouTube,49
Game,48
Definition,48
Amazon.com,46
Daylight saving time,45
Facebook,42
Google Search,39
Donald Trump,38
Google,38
.com,38
Coronavirus disease 2019,38
Recipe,37
United States,37
Walmart,37
Halloween,35
Walmart Pharmacy,35

RISING
Baltimore Ravens,"+1,000%"
Pittsburgh Steelers,+850%
Chicago Bears,+750%
Green Bay Packers,+550%
Seattle Seahawks,+500%
NFL,+500%
New England Patriots,+500%
Kansas City Chiefs,+450%
Dallas Cowboys,+250%
.is,+250%
Daylight saving time,+200%
Clock,+170%
November,+160%
Voting,+160%
Unemployment,+160%
Time,+110%
Penn State Nittany Lions football,+100%
Hour,+100%
Thanksgiving,+80%
Christmas Day,+80%
ESPN.com,+70%
Black Friday,+60%
ESPN,+50%
Game,+50%
Detroit,+50%

