Category: All categories
TOP
Weather,100
City,49
Typhoon,49
Yahoo!,39
Meaning,30
YouTube,28
English language,27
Comics,26
Twitter,26
Twitter,26
Recipe,26
Aya Kōda,25
Amazon.com,24
News,22
Japan,22
Japanese people,22
Tokyo,20
Tropical Storm Krosa,19
Rakuten,18
Share price,17
Osaka,17
Blog,17
Film,16
Woman,16
Shop,16

RISING
Yukari Oshima,"+3,700%"
Tropical Storm Krosa,+350%
Aya Kōda,+300%
Yomiuri Giants,+250%
Nippon Professional Baseball,+160%
Divorce,+150%
Typhoon Lionrock,+90%
Typhoon,+60%
Baseball,+60%
Loyalty program,+50%
Dieting,+40%
Manufacturing,+40%

