Category: All categories
TOP
2020,100
Film,77
Weather,71
Super Bowl,64
Sales,60
Greensboro,58
Google,57
Facebook,56
Google Search,56
Sit-in,55
YouTube,53
Greensboro sit-ins,53
Bowl game,49
Kobe Bryant,49
Facebook,49
Amazon.com,47
Coronavirus,46
Definition,46
Car,46
Restaurant,45
.com,45
Basketball,42
Texas,40
Menu,40
Lyrics,39

RISING
Greensboro sit-ins,Breakout
Sit-in,Breakout
Greensboro,"+4,650%"
Premier League,+500%
Los Angeles Lakers,+350%
Sports league,+150%
Dipping sauce,+120%
Movie theater,+80%
Basketball,+70%
Bowl game,+70%
Shopping mall,+60%
February,+60%
Recipe,+60%
Super Bowl,+50%
Chicken,+50%
Restaurant,+50%
Film,+50%
Costco Gasoline,+50%
Domino's Pizza,+40%
Male,+40%
Lottery,+40%
Party,+40%
Casting,+40%
McDonald's,+40%

