Category: All categories
TOP
New Year,100
2020,61
Film,38
New Year's Eve,32
Facebook,29
Weather,29
Facebook,25
New Year's Day,25
American football,23
YouTube,22
Game,21
Google Search,20
Google,20
Sales,20
Amazon.com,20
Walmart,20
Walmart Pharmacy,19
Lyrics,18
Restaurant,17
Recipe,17
.com,16
How-to,16
Song,16
Definition,16
Texas,16

RISING
New Year's Day,"+1,150%"
Post Malone,+850%
Rose Parade,+850%
Michigan Wolverines football,+800%
Countdown,+800%
Alabama Crimson Tide football,+750%
Parade,+700%
Rose Bowl Stadium,+650%
2020 Rose Bowl,+650%
Rose Bowl Game,+650%
Times Square Ball Drop,+450%
Dillard's,+170%
Live television,+170%
Television channel,+130%
Bowl game,+100%
Streaming media,+90%
2020,+90%
January,+90%
McDonald's,+90%
Black-eyed pea,+90%
Stadium,+80%
Clock,+80%
Pea,+80%
Age,+70%
College Football,+70%

