Category: All categories
TOP
Protest,100
News,96
Google Search,91
Google,87
Weather,79
Definition,73
Facebook,69
Sales,68
2020,67
Riot,62
Amazon.com,61
YouTube,60
Facebook,59
Texas,57
United States,55
Walmart,53
.com,53
Curfew,52
Donald Trump,52
Walmart Pharmacy,52
Film,52
California,50
Car,46
Florida,45
How-to,45

RISING
Dow Jones Industrial Average,+750%
Google Classroom,+250%
Physician,+150%
Stock,+140%
United States Postal Service,+110%
Telephone number,+110%
United Parcel Service,+100%
Telephone,+100%
Washington,+100%
Customer,+90%
Bank of America,+90%
USPS,+80%
Wells Fargo,+80%
Employment,+80%
Customer Service,+70%
Wells Fargo ATM,+70%
Bank,+70%
Zoom Video Communications,+70%
Service,+70%
Insurance,+60%
Outlook.com,+60%
Gmail,+60%
License,+60%
Boston,+60%
Curfew,+60%

