Month,Search Term,Percentage
05-May,Anderson Cooper,"+4,700%"
05-May,Governor,+40%
03-Mar,Delegate,+950%
03-Mar,Real Madrid C.F.,+850%
03-Mar,FC Barcelona,+550%
03-Mar,Result,+250%
03-Mar,2020 South Carolina Democratic presidential primary,+200%
03-Mar,Primary election,+160%
03-Mar,Democratic Party,+130%
03-Mar,Los Angeles Lakers,+130%
03-Mar,March,+90%
03-Mar,South Carolina,+80%
03-Mar,Chicken,+50%
02-Feb,Greensboro sit-ins,Breakout
02-Feb,Sit-in,Breakout
02-Feb,Greensboro,"+4,650%"
02-Feb,Premier League,+500%
02-Feb,Los Angeles Lakers,+350%
02-Feb,Sports league,+150%
02-Feb,Dipping sauce,+120%
02-Feb,Movie theater,+80%
02-Feb,Basketball,+70%
02-Feb,Bowl game,+70%
02-Feb,Shopping mall,+60%
02-Feb,February,+60%
02-Feb,Recipe,+60%
02-Feb,Super Bowl,+50%
02-Feb,Chicken,+50%
02-Feb,Restaurant,+50%
02-Feb,Film,+50%
02-Feb,Costco Gasoline,+50%
02-Feb,Domino's Pizza,+40%
02-Feb,Male,+40%
02-Feb,Lottery,+40%
02-Feb,Party,+40%
02-Feb,Casting,+40%
02-Feb,McDonald's,+40%
01-Jan,New Year's Day,"+1,150%"
01-Jan,Post Malone,+850%
01-Jan,Rose Parade,+850%
01-Jan,Michigan Wolverines football,+800%
01-Jan,Countdown,+800%
01-Jan,Alabama Crimson Tide football,+750%
01-Jan,Parade,+700%
01-Jan,Rose Bowl Stadium,+650%
01-Jan,2020 Rose Bowl,+650%
01-Jan,Rose Bowl Game,+650%
01-Jan,Times Square Ball Drop,+450%
01-Jan,Dillard's,+170%
01-Jan,Live television,+170%
01-Jan,Television channel,+130%
01-Jan,Bowl game,+100%
01-Jan,Streaming media,+90%
01-Jan,2020,+90%
01-Jan,January,+90%
01-Jan,McDonald's,+90%
01-Jan,Black-eyed pea,+90%
01-Jan,Stadium,+80%
01-Jan,Clock,+80%
01-Jan,Pea,+80%
01-Jan,Age,+70%
01-Jan,College Football,+70%
12-Dec,Elliot Page,Breakout
12-Dec,The Voice,"+1,350%"
12-Dec,December,+900%
12-Dec,Holiday,+700%
12-Dec,Philadelphia Eagles,+300%
12-Dec,Seattle Seahawks,+300%
12-Dec,Fortnite,+80%
11-Nov,Baltimore Ravens,"+1,000%"
11-Nov,Pittsburgh Steelers,+850%
11-Nov,Chicago Bears,+750%
11-Nov,Green Bay Packers,+550%
11-Nov,Seattle Seahawks,+500%
11-Nov,NFL,+500%
11-Nov,New England Patriots,+500%
11-Nov,Kansas City Chiefs,+450%
11-Nov,Dallas Cowboys,+250%
11-Nov,.is,+250%
11-Nov,Daylight saving time,+200%
11-Nov,Clock,+170%
11-Nov,November,+160%
11-Nov,Voting,+160%
11-Nov,Unemployment,+160%
11-Nov,Time,+110%
11-Nov,Penn State Nittany Lions football,+100%
11-Nov,Hour,+100%
11-Nov,Thanksgiving,+80%
11-Nov,Christmas Day,+80%
11-Nov,ESPN.com,+70%
11-Nov,Black Friday,+60%
11-Nov,ESPN,+50%
11-Nov,Game,+50%
11-Nov,Detroit,+50%
10-Oct,Chrissy Teigen,"+2,800%"
10-Oct,Miami Heat,+350%
10-Oct,Los Angeles Lakers,+300%
10-Oct,NBA,+150%
10-Oct,The NBA Finals,+140%
10-Oct,October,+100%
10-Oct,New York Yankees,+50%
10-Oct,Halloween,+50%
10-Oct,NFL,+40%
10-Oct,Miami,+40%
10-Oct,Moon,+40%
09-Sep,September,+80%
08-Aug,Ban,"+3,600%"
08-Aug,TikTok,+550%
08-Aug,The Umbrella Academy,+60%
08-Aug,August,+60%
08-Aug,Film,+40%
08-Aug,Grocery store,+40%
07-Jul,July,+50%
06-Jun,Dow Jones Industrial Average,+750%
06-Jun,Google Classroom,+250%
06-Jun,Physician,+150%
06-Jun,Stock,+140%
06-Jun,United States Postal Service,+110%
06-Jun,Telephone number,+110%
06-Jun,United Parcel Service,+100%
06-Jun,Telephone,+100%
06-Jun,Washington,+100%
06-Jun,Customer,+90%
06-Jun,Bank of America,+90%
06-Jun,USPS,+80%
06-Jun,Wells Fargo,+80%
06-Jun,Employment,+80%
06-Jun,Customer Service,+70%
06-Jun,Wells Fargo ATM,+70%
06-Jun,Bank,+70%
06-Jun,Zoom Video Communications,+70%
06-Jun,Service,+70%
06-Jun,Insurance,+60%
06-Jun,Outlook.com,+60%
06-Jun,Gmail,+60%
06-Jun,License,+60%
06-Jun,Boston,+60%
06-Jun,Curfew,+60%
04-Apr,Jean Macnamara,Breakout
04-Apr,Earthquake,+600%
04-Apr,04-April Fools' Day,+600%
04-Apr,Jester,+500%
04-Apr,Practical joke,+350%
04-Apr,04-April,+300%
04-Apr,Idaho,+160%
04-Apr,Florida,+40%
