Month,Topic,Rank
May,Google,100
May,Google Search,97
May,Game,52
May,Coronavirus,47
May,Google Doodle,41
May,Doodle,40
May,Definition,36
May,Amazon.com,35
May,Facebook,33
May,YouTube,33
May,Weather,32
May,Sales,32
May,Coronavirus disease 2019,31
May,How-to,29
May,2020,28
May,Film,28
May,Facebook,27
May,.com,27
May,Walmart,26
May,United States,26
May,Walmart Pharmacy,26
May,Texas,24
May,Stock,22
May,Car,20
May,Child,20
Dec,Google,100
Dec,Weather,100
Dec,Google Search,100
Dec,Amazon.com,96
Dec,Definition,93
Dec,Christmas Day,84
Dec,Coronavirus disease 2019,81
Dec,2020,78
Dec,Sales,77
Dec,.com,73
Dec,December,73
Dec,Holiday,72
Dec,YouTube,71
Dec,Facebook,66
Dec,Walmart Pharmacy,61
Dec,Walmart,61
Dec,Stock,58
Dec,Film,57
Dec,Facebook,56
Dec,Texas,52
Dec,Car,51
Dec,How-to,47
Dec,United States,47
Dec,Dog,46
Dec,Child,46
Jan,New Year,100
Jan,2020,61
Jan,Film,38
Jan,New Year's Eve,32
Jan,Facebook,29
Jan,Weather,29
Jan,Facebook,25
Jan,New Year's Day,25
Jan,American football,23
Jan,YouTube,22
Jan,Game,21
Jan,Google Search,20
Jan,Google,20
Jan,Sales,20
Jan,Amazon.com,20
Jan,Walmart,20
Jan,Walmart Pharmacy,19
Jan,Lyrics,18
Jan,Restaurant,17
Jan,Recipe,17
Jan,.com,16
Jan,How-to,16
Jan,Song,16
Jan,Definition,16
Jan,Texas,16
Feb,2020,100
Feb,Film,77
Feb,Weather,71
Feb,Super Bowl,64
Feb,Sales,60
Feb,Greensboro,58
Feb,Google,57
Feb,Facebook,56
Feb,Google Search,56
Feb,Sit-in,55
Feb,YouTube,53
Feb,Greensboro sit-ins,53
Feb,Bowl game,49
Feb,Kobe Bryant,49
Feb,Facebook,49
Feb,Amazon.com,47
Feb,Coronavirus,46
Feb,Definition,46
Feb,Car,46
Feb,Restaurant,45
Feb,.com,45
Feb,Basketball,42
Feb,Texas,40
Feb,Menu,40
Feb,Lyrics,39
Mar,2020,100
Mar,Weather,86
Mar,Coronavirus,86
Mar,Film,78
Mar,Sales,63
Mar,Google Search,61
Mar,Google,59
Mar,Facebook,58
Mar,YouTube,54
Mar,Amazon.com,54
Mar,Facebook,51
Mar,Definition,51
Mar,Car,48
Mar,Basketball,47
Mar,South Carolina,47
Mar,United States,45
Mar,Texas,42
Mar,.com,41
Mar,Lyrics,40
Mar,Restaurant,39
Mar,Florida,38
Mar,Recipe,38
Mar,Primary election,38
Mar,How-to,37
Mar,Menu,37
Apr,Coronavirus,100
Apr,Google,52
Apr,Google Search,51
Apr,Coronavirus disease 2019,46
Apr,United States,31
Apr,Definition,30
Apr,YouTube,28
Apr,Facebook,28
Apr,Jean Macnamara,28
Apr,Amazon.com,25
Apr,Weather,25
Apr,Facebook,24
Apr,2020,23
Apr,How-to,22
Apr,Film,22
Apr,.com,22
Apr,Florida,22
Apr,News,21
Apr,Walmart,21
Apr,Death,21
Apr,Unemployment,20
Apr,Sales,20
Apr,Walmart Pharmacy,19
Apr,School,19
Apr,Stock,19
Jun,Protest,100
Jun,News,96
Jun,Google Search,91
Jun,Google,87
Jun,Weather,79
Jun,Definition,73
Jun,Facebook,69
Jun,Sales,68
Jun,2020,67
Jun,Riot,62
Jun,Amazon.com,61
Jun,YouTube,60
Jun,Facebook,59
Jun,Texas,57
Jun,United States,55
Jun,Walmart,53
Jun,.com,53
Jun,Curfew,52
Jun,Donald Trump,52
Jun,Walmart Pharmacy,52
Jun,Film,52
Jun,California,50
Jun,Car,46
Jun,Florida,45
Jun,How-to,45
Jul,Weather,100
Jul,Coronavirus disease 2019,97
Jul,Sales,85
Jul,Google Search,81
Jul,Google,81
Jul,Facebook,79
Jul,Amazon.com,78
Jul,Definition,78
Jul,2020,75
Jul,Coronavirus,74
Jul,.com,73
Jul,YouTube,67
Jul,Facebook,66
Jul,Texas,64
Jul,Car,63
Jul,Film,61
Jul,California,61
Jul,United States,60
Jul,Walmart Pharmacy,57
Jul,How-to,56
Jul,Florida,56
Jul,Walmart,54
Jul,News,51
Jul,Dog,48
Jul,Stock,47
Aug,Weather,100
Aug,Sales,73
Aug,Film,70
Aug,Facebook,61
Aug,2020,58
Aug,Amazon.com,57
Aug,YouTube,57
Aug,TikTok,56
Aug,Coronavirus disease 2019,55
Aug,Google Search,55
Aug,Google,52
Aug,Facebook,51
Aug,Car,50
Aug,Definition,49
Aug,United States,45
Aug,Walmart,45
Aug,.com,45
Aug,How-to,45
Aug,Menu,44
Aug,Walmart Pharmacy,43
Aug,Florida,43
Aug,Texas,42
Aug,Dog,42
Aug,California,42
Aug,Restaurant,41
Sep,Google Search,100
Sep,Google,96
Sep,Definition,59
Sep,Weather,51
Sep,YouTube,49
Sep,2020,47
Sep,Sales,45
Sep,Facebook,41
Sep,School,39
Sep,Amazon.com,39
Sep,.com,38
Sep,How-to,33
Sep,Facebook,33
Sep,Texas,33
Sep,California,32
Sep,Stock,32
Sep,Film,31
Sep,Coronavirus disease 2019,31
Sep,Google Classroom,31
Sep,Car,30
Sep,United States,28
Sep,Dog,25
Sep,Child,25
Sep,Number,25
Sep,Translation,25
Oct,Google Search,100
Oct,Google,100
Oct,Definition,75
Oct,2020,65
Oct,Weather,59
Oct,YouTube,57
Oct,Sales,50
Oct,Amazon.com,46
Oct,.com,44
Oct,Facebook,44
Oct,Car,39
Oct,Film,38
Oct,United States,37
Oct,School,37
Oct,Texas,36
Oct,Facebook,36
Oct,How-to,35
Oct,Translation,35
Oct,Coronavirus disease 2019,34
Oct,Number,33
Oct,California,33
Oct,Game,33
Oct,Dog,31
Oct,Child,31
Oct,Donald Trump,29
Nov,2020,100
Nov,Voting,78
Nov,Film,75
Nov,NFL,68
Nov,Weather,67
Nov,Time,66
Nov,American football,54
Nov,Sales,53
Nov,Facebook,51
Nov,YouTube,49
Nov,Game,48
Nov,Definition,48
Nov,Amazon.com,46
Nov,Daylight saving time,45
Nov,Facebook,42
Nov,Google Search,39
Nov,Donald Trump,38
Nov,Google,38
Nov,.com,38
Nov,Coronavirus disease 2019,38
Nov,Recipe,37
Nov,United States,37
Nov,Walmart,37
Nov,Halloween,35
Nov,Walmart Pharmacy,35
