Category: All categories
TOP
Coronavirus,100
Google Search,60
Google,60
Coronavirus disease 2019,43
Weather,39
Definition,39
Amazon.com,36
Facebook,36
YouTube,35
Film,32
How-to,31
Sales,31
Facebook,30
2020,30
United States,30
.com,27
Recipe,26
Stimulus,26
Cheque,25
Walmart,25
Walmart Pharmacy,24
Death,24
Unemployment,22
Texas,21
Stock,21

RISING
Google Doodle,Breakout
Kim Jong-un,"+3,850%"
Doodle,"+1,350%"
National Football League Draft,+950%
irs.gov,+800%
Internal Revenue Service,+350%
Surgical mask,+250%
Stimulus,+250%
Cheque,+250%
Web portal,+160%
Mask,+150%
Unemployment,+130%
Textile,+120%
Easter,+120%
Payment,+100%
Swimming pool,+90%
Face,+80%
Zoom Video Communications,+80%
USPS,+70%
Bicycle,+70%
Plants,+70%
Fortnite,+60%
Animal Crossing,+50%
Animal Crossing,+50%
Do it yourself,+50%

