Category: All categories
TOP
Google,100
Google Search,97
Weather,83
Sales,76
YouTube,68
Definition,65
2020,65
Amazon.com,65
Facebook,64
Film,61
Coronavirus disease 2019,54
School,54
.com,53
Texas,52
Facebook,51
Car,49
How-to,47
California,44
United States,44
Walmart,42
Walmart Pharmacy,42
Florida,42
Dog,41
House,39
Child,39

RISING
Kamala Harris,"+1,750%"
Google Classroom,+700%
NBA,+250%
Tropical cyclone,+250%
Joe Biden,+120%
Google Docs,+110%
Fire,+90%
Zoom Video Communications,+70%
American football,+60%
Google,+60%
Google Search,+50%
Student,+40%
School,+40%

