Category: All categories
TOP
Weather,100
Christmas Day,97
Coronavirus disease 2019,85
Amazon.com,82
Google Search,77
Google,76
Definition,76
Sales,75
Film,74
2020,72
Holiday,68
.com,67
YouTube,66
Facebook,66
December,63
Walmart,58
Walmart Pharmacy,58
Facebook,55
Recipe,55
Texas,51
Car,50
How-to,50
Dog,48
Game,47
NFL,46

RISING
December,"+2,300%"
New Year,"+1,200%"
Cyberpunk 2077,+800%
Holiday,+750%
Stimulus,+450%
Cheque,+250%
Vaccine,+180%
Snow,+160%
USPS,+150%
Cookie,+120%
United States Postal Service,+110%
Basketball,+110%
Christmas Day,+110%
Winter,+110%
NBA,+90%
2021,+90%
Gift,+70%
United Parcel Service,+50%
Pittsburgh Steelers,+50%
FedEx,+40%
Shopping mall,+40%

