Category: All categories
TOP
Google,100
Google Search,100
Weather,78
Sales,64
Coronavirus,62
Amazon.com,59
Facebook,58
Definition,57
YouTube,57
Film,54
2020,51
.com,50
Coronavirus disease 2019,48
Facebook,47
Walmart Pharmacy,45
Walmart,44
How-to,44
Texas,43
United States,43
Recipe,41
Car,40
Dog,38
California,38
Florida,37
Game,35

RISING
Memorial Day,"+1,250%"
Mother's Day,+200%
Shopping mall,+200%
Murder,+150%
Swimming pool,+110%
Lake,+90%
Park,+80%
Mother,+80%
Police,+70%
Father,+60%
Boat,+50%
Restaurant,+50%
Rent,+50%
Golf,+50%
Teacher,+40%
Google Doodle,+40%
Bar,+40%

