Week,Coronavirus diseases: (Worldwide)
1/19/2020,12
1/26/2020,33
2/2/2020,19
2/9/2020,18
2/16/2020,11
2/23/2020,29
3/1/2020,48
3/8/2020,99
3/15/2020,100
3/22/2020,72
3/29/2020,50
4/5/2020,41
4/12/2020,36
4/19/2020,31
4/26/2020,20
5/3/2020,21
5/10/2020,22
5/17/2020,18
5/24/2020,11
5/31/2020,10
6/7/2020,12
6/14/2020,10
6/21/2020,12
6/28/2020,11
7/5/2020,12
7/12/2020,11
7/19/2020,7
7/26/2020,10
8/2/2020,8
8/9/2020,7
8/16/2020,5
8/23/2020,5
8/30/2020,7
9/6/2020,8
9/13/2020,7
9/20/2020,6
9/27/2020,6
10/4/2020,8
10/11/2020,3
10/18/2020,5
10/25/2020,3
11/1/2020,4
11/8/2020,4
11/15/2020,3
11/22/2020,4
11/29/2020,4
12/6/2020,4
12/13/2020,3
12/20/2020,3
12/27/2020,3
1/3/2021,3
1/10/2021,3
