Category: All categories
TOP
2020,100
Google,99
Google Search,98
Weather,96
Definition,93
Sales,75
Film,73
Amazon.com,72
YouTube,71
Facebook,70
.com,63
Coronavirus disease 2019,61
Donald Trump,58
Facebook,58
Texas,58
Car,55
How-to,50
United States,49
Game,49
Florida,46
Dog,45
School,45
American football,44
House,43
California,43

RISING
Los Angeles Dodgers,+500%
Halloween,+200%
Ballot,+200%
Pumpkin,+200%
Costume,+190%
Halloween costume,+170%
Opinion poll,+140%
Voting,+130%
Christmas Day,+120%
Election,+110%
Donald Trump,+80%
Joe Biden,+60%
Among Us,+60%
Debate,+50%
American football,+50%
COVID-19 testing,+40%
Stimulus,+40%
Boot,+40%

