Category: All categories
TOP
Google,100
Google Search,98
Definition,61
Weather,53
2020,52
YouTube,51
Sales,48
Amazon.com,42
Facebook,42
.com,39
Film,37
School,35
Facebook,34
How-to,34
California,33
Texas,32
Car,32
Game,31
United States,30
Coronavirus disease 2019,30
Translation,28
Meaning,27
Walmart,27
Child,27
Number,26

RISING
Debate,+950%
NFL,+550%
Halloween,+200%
Quizlet,+180%
Quizlet,+170%
American football,+140%
Atmosphere of Earth,+130%
Cell,+110%
"Google Docs, Sheets, and Slides",+90%
Google Docs,+80%
Google Classroom,+80%
Voting,+70%
Calculator,+60%
Synonym,+60%
Football,+50%
Court,+50%
Mathematics,+50%
ESPN Latin America,+50%
Wallpaper,+50%
Google Translate,+50%
ESPN,+40%
Fire,+40%

